Operating System,Processor Brand,Processor Name,RAM,RAM Type,SSD,SSD Capacity,Screen Resolution,Screen Size,Storage Type,Touchscreen,Type,Brand,Price
macOS Sequoia,Apple,M2,16 GB,Unified Memory,Yes,256 GB,2560 x 1664 Pixel,34.54 cm (13.6 Inch),SSD,No,Thin and Light Laptop,Apple,"₹91,064"
Windows 11 Home,AMD,Ryzen 7 Octa Core,16 GB,LPDDR4X,Yes,512 GB,1920 x 1200 Pixel,35.56 cm (14 Inch),SSD,Yes,2 in 1 Laptop,Lenovo,"₹69,690"
Windows 11 Home,Intel,Core i5,8 GB,DDR4,Yes,512 GB,1920 x 1080 Pixels,39.62 cm (15.6 inch),SSD,No,Gaming Laptop,Lenovo,"₹72,490"
Windows 11 Home,Intel,Core i5,16 GB,LPDDR5X,Yes,512 GB,1920 x 1200 Pixel,35.56 cm (14 Inch),SSD,Yes,2 in 1 Laptop,Lenovo,"₹72,490"
Prime OS,MediaTek,MediaTek MT8788,4 GB,LPDDR4,No,,1366 x 768 Pixels,29.46 cm (11.6 Inch),eMMC,No,Thin and Light Laptop,Primebook,"₹14,990"
Windows 11 Home,Intel,Core i5,16 GB,DDR5,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Gaming Laptop,Colorful,"₹59,990"
Windows 11 Home,Intel,Core i3,8 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,Lenovo,"₹30,800"
Windows 11 Home,Intel,Core i5,16 GB,LPDDR5X,Yes,512 GB,1920 x 1200 Pixel,35.56 cm (14 Inch),SSD,Yes,2 in 1 Laptop,Lenovo,"₹72,490"
Windows 11 Home,Intel,Core Ultra 5,16 GB,LPDDR5,Yes,1 TB,2880 x 1800 Pixel,33.78 cm (13.3 Inch),SSD,No,Thin and Light Laptop,MSI,"₹91,990"
Windows 11 Home,Intel,Core i5,16 GB,LPDDR5X,Yes,512 GB,1920 x 1200 Pixel,35.56 cm (14 Inch),SSD,Yes,2 in 1 Laptop,Lenovo,"₹72,490"
Windows 11 Home,AMD,Ryzen 7 Octa Core,16 GB,DDR5,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Gaming Laptop,ASUS,"₹92,990"
Windows 11 Home,Intel,Core i3,12 GB,LPDDR4,Yes,512 GB,2256x1504 pixel,34.29 cm (13.5 inch),SSD,Yes,2 in 1 Laptop,CHUWI,"₹37,990"
Windows 11 Home,AMD,Ryzen 7 Octa Core,16 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 inch),SSD,No,Thin and Light Laptop,Lenovo,"₹41,990"
Windows 11 Home,Intel,Core Ultra 5,16 GB,LPDDR5X,Yes,1 TB,1920 x 1200 Pixel,40.64 cm (16 inch),SSD,No,Thin and Light Laptop,Lenovo,"₹81,990"
Windows 11 Home,Intel,Core i5,16 GB,LPDDR4X,Yes,512 GB,2880 x 1800 Pixels,35.56 cm (14 inch),SSD,No,Thin and Light Laptop,Infinix,"₹49,990"
Windows 11 Home,Intel,Core i5,8 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Gaming Laptop,MSI,"₹53,990"
Windows 11 Home,Intel,Core i7,16 GB,DDR5,Yes,512 GB,2560 x 1600 Pixel,39.62 cm (15.6 Inch),SSD,No,Gaming Laptop,Colorful,"₹83,990"
Windows 11 Home,Intel,Celeron Dual Core,4 GB,DDR4,No,,1366 x 768 Pixel,35.81 cm (14.1 inch),SSD,No,Thin and Light Laptop,Ultimus,"₹11,990"
Windows 11 Home,Intel,Core i3,8 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,ASUS,"₹36,990"
Windows 11 Home,Intel,Core i5,16 GB,DDR5,Yes,512 GB,1920 x 1080 Pixels,39.62 cm (15.6 Inch),SSD,No,Gaming Laptop,Lenovo,"₹79,999"
Windows 11 Home,Intel,Core i3,8 GB,DDR4,Yes,256 GB,1920 x 1080 Pixel,35.81 cm (14.1 Inch),SSD,No,Thin and Light Laptop,Ultimus,"₹21,990"
Windows 11 Home,Intel,Core i7,16 GB,DDR5,Yes,1 TB,1920 x 1200 Pixel,40.64 cm (16 Inch),SSD,No,Gaming Laptop,MSI,"₹1,49,990"
Windows 11 Home,Intel,Core i7,16 GB,DDR5,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Gaming Laptop,MSI,"₹79,990"
Windows 11 Home,Intel,Celeron Dual Core,8 GB,DDR4,Yes,256 GB,1366*768 pixel,39.62 cm (15.6 inch),SSD,No,Thin and Light Laptop,HP,"₹25,900"
Windows 11 Home,Intel,Core Ultra 5,16 GB,LPDDR5,Yes,1 TB,2880 x 1800 Pixel,33.78 cm (13.3 Inch),SSD,No,Thin and Light Laptop,MSI,"₹91,990"
macOS Sonoma,Apple,M3 Max,36 GB,Unified Memory,Yes,1 TB,3024 x 1964 Pixels,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,Apple,"₹2,99,990"
Windows 11 Home,AMD,Ryzen 3 Quad Core,8 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,HP,"₹31,799"
Windows 11 Home,Intel,Core Ultra 5,16 GB,LPDDR5X,Yes,1 TB,1920 x 1200 Pixel,40.64 cm (16 inch),SSD,No,Thin and Light Laptop,Lenovo,"₹81,990"
Windows 11 Home,Intel,Core Ultra 5,16 GB,LPDDR5X,Yes,1 TB,1920 x 1200 Pixel,40.64 cm (16 inch),SSD,No,Thin and Light Laptop,Lenovo,"₹81,990"
Windows 11 Home,AMD,Ryzen 5 Hexa Core,8 GB,DDR4,Yes,256 GB,1366 x 768 pixel,39.62 cm (15.6 inch),SSD,No,Business Laptop,HP,"₹30,490"
Windows 11 Home,AMD,Ryzen 5 Hexa Core,8 GB,DDR4,Yes,512 GB,1920 X 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,DELL,"₹39,990"
Windows 11 Home,AMD,Athlon Dual Core,8 GB,DDR4,Yes,256 GB,1366 x 768 Pixels,39.62 cm (15.6 Inch),SSD,No,Notebook,DELL,"₹33,500"
Windows 11 Home,AMD,Ryzen 5,8 GB,LPDDR5,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,Acer,"₹34,990"
Windows 11 Home,Intel,Core i7,16 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,MSI,"₹57,990"
Windows 11 Home,Intel,Core i5,16 GB,LPDDR5X,Yes,512 GB,1920 x 1200 Pixel,35.56 cm (14 Inch),SSD,Yes,2 in 1 Laptop,Lenovo,"₹72,490"
