Additional Features,Antivirus,Backlit Keyboard,Battery Backup,Battery Cell,Bluetooth,Brand,Brightness,Cache,Certification,Chipset,Clock Speed,Color,Color Gamut,Covered in Warranty,Dedicated Graphic Memory Capacity,Dedicated Graphic Memory Type,Dimensions,Disk Drive,Dock Port,Domestic Warranty,EMMC Storage Capacity,Ethernet,Expandable Memory,Expandable SSD Capacity,Face Recognition,Finger Print Sensor,Firewire Port,Graphic Processor,HDD Capacity,HDMI Port,Hardware Interface,Inbuilt 4G LTE,Included Software,Internal Mic,International Warranty,Keyboard,Laptop Bag,Lock Port,MS Office Provided,Memory Slots,Mic In,Model Name,Model Number,Multi Card Slot,NFC Support,Not Covered in Warranty,Number of Cores,OS Architecture,Operating System,Optane Memory,Other Accessories,Part Number,Pointer Device,Power Supply,Price,Processor Brand,Processor Generation,Processor Name,Processor Variant,RAM,RAM Frequency,RAM Type,RJ11,RJ45,RPM,Read/Write Speed,Recovery Options,Refresh Rate,S-video,SSD,SSD Capacity,Sales Package,Screen Resolution,Screen Size,Screen Type,Security Chip,Series,Sound Chip,Sound Properties,Speakers,Storage Type,Stylus Included,Suitable For,Supported Operating System,System Architecture,TGP,Touchscreen,Type,USB Port,VGA Port,Warranty Service Type,Warranty Summary,Web Camera,Weight,Wireless LAN,Wireless WAN
,,Yes,Upto 18 Hours,,v5.3,Apple MacBook AIR Apple M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7V4HN/A,,,,,,Silver,,Manufacturing Defects,,,304.1 x 215.0 x 11.3 mm,Not Available,,1 Year,,,,,,,,NA,,,,,"Built-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos, Weather",,,Backlit Magic Keyboard,,,No,,Yes,MacBook Air,MC7V4HN/A,,,Physical Damage,,,macOS Sequoia,,,MC7V4HN/A,,,"₹91,064",Apple,,M2,,16 GB,,Unified Memory,,,,,,,,Yes,256 GB,"13.6 inch MacBook Air USB-C Power Adapter, USB-C to MagSafe 3 Cable (2 m)",2560 x 1664 Pixel,34.54 cm (13.6 Inch),"Liquid Retina display, LED-backlit display with IPS technology native resolution at 224 pixels per inch, 500 nits brightness",,MacBook AIR,,Four-speaker sound system,Built-in Speakers,SSD,,Processing & Multitasking,,,,No,Thin and Light Laptop,2 x Thunderbolt USB 4,,Onsite,1 Year Limited Warranty,1080p FaceTime HD camera,1.24 kg,Wi-Fi 6 (802.11ax),
,,Yes,,,v5.1,Lenovo IdeaPad Flex 5 AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) 14ABR8 2 in 1 L...,,,,,2.0 GHz with Turbo Boost Upto 4.5 GHz,Arctic Grey,,Manufacturing Defects,,,313.1 x 224.9 x 17.8 mm,Not Available,,,,,,,,Yes,,AMD Radeon AMD,,,,,,Yes,,"Backlit, English",,,Yes,,,14ABR8,14ABR8,,,Physical Damage,,,Windows 11 Home,,,82XX007MIN|82XX0071IN,,,"₹69,690",AMD,,Ryzen 7 Octa Core,7730U,16 GB,,LPDDR4X,,,,,,,,Yes,512 GB,"Laptop, Power Adapter, Warranty Documents, User Manual",1920 x 1200 Pixel,35.56 cm (14 Inch),"WUXGA, IPS 300nits Glossy, 45% NTSC, TUV Low Blue Light, Glass, Touch",,IdeaPad Flex 5,,,Yes,SSD,,Processing & Multitasking,,,,Yes,2 in 1 Laptop,"1 x USB 3.2 Gen 1, 1 x USB 3.2 Gen 1 (Always On), 1 x USB-C 3.2 Gen 2 (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",,Onsite,1 Year Onsite Premium Support with 1 Year Onsite Warranty,Full HD 1080p with Privacy Shutter,1.55 Kg,"Wi-Fi 6, 11ax 2x2",
,,Yes,Upto 5.9 hours,,v5.1,Lenovo Legion 5 Intel Intel Core i5 10th Gen 10500H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/N...,,12 MB,,Intel HM470,"Base Frequency 2.5 GHz, Max Turbo Boost at 4.5 GHz",Phantom Black,,Manufacturing Defects,4 GB,GDDR6,363.06 x 259.61 x 23.57 mm,Not Available,,1 Year,,100/1000M,,,,,,NVIDIA GeForce RTX 3050,,1 x HDMI 2.0,M.2 2280 PCIe 3.0 x4 NVMe,,,Built-in Dual Array Microphone,,"White Backlit, English",,Kensington Security Slot,No,2,Yes,Legion 5,15IMH6,,,Physical Damage,6,64 bit,Windows 11 Home,,,82NL00APIN,,3 Pin 230 W Slim Tip Adapter,"₹72,490",Intel,10th Gen,Core i5,10500H,8 GB,2933 MHz,DDR4,,Yes,,,,120 Hz,,Yes,512 GB,"Laptop, Power Adaptor, Quick Start Guide, Warranty Document",1920 x 1080 Pixels,39.62 cm (15.6 inch),"Full HD, IPS, 250nits Anti-glare, Refresh Rate: 120 Hz, 45% NTSC, DC dimmer",Firmware TPM 2.0,Legion 5 Intel,"High Definition (HD) Audio, Realtek ALC3287 codec","Dolby Atmos for gaming, Harman Speaker",2W Built-in Dual Stereo speakers,SSD,,"Gaming, Processing & Multitasking",Windows 11 Home,64 Bit,,No,Gaming Laptop,"3 x USB 3.2 Gen 1, 1 x USB 3.2 Gen 1 (Always On), 1 x USB-C 3.2 Gen 1 (support data transfer and DisplayPort 1.2)",,Carry-In,1 Year Onsite�Warranty�+ 1 Year Legion Ultimate Support + 1 Year Accidental Damage Protection,720p with Privacy Shutter,2.3 kg,"Wi-Fi 6 (802.11ax), 2 x 2",
,,,,,v5.2,Lenovo IdeaPad 5 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) 14IRH9 2 in 1 Lapt...,,,,,Base frequency 1.4 GHz upto Max Turbo Frequency 4.6 GHz,Luna Grey,,Manufacturing Defects,,,313 x 227 x 17.5 mm,Not Available,,,,,,,,,,Intel Integrated UHD,,,,,,Yes,,"Backlit, English",,,Yes,,,14IRH9,14IRH9,,,Physical Damage,,,Windows 11 Home,,,83KX0018IN,,,"₹72,490",Intel,13th Gen,Core i5,13420H,16 GB,,LPDDR5X,,,,,,,,Yes,512 GB,"Laptop, Lenovo Digital Pen 2, Power Adaptor, User Guide, Warranty Documents",1920 x 1200 Pixel,35.56 cm (14 Inch),"WUXGA, IPS 300nits Glossy, 45% NTSC, 60Hz, TÜV Low Blue Light, Glass, Touch",,IdeaPad 5,,,Yes,SSD,,Processing & Multitasking,,,,Yes,2 in 1 Laptop,"1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), 1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On 2 x USB-C (USB 10Gbps / USB 3.2 Gen 2), with USB PD 3.1 and DisplayPort 1.4",,Carry-in,1 Year Carry-in Warranty,FHD 1080p with Privacy Shutter,1.6 Kg,"Wi-Fi 6, 802.11ax 2x2",
,,No,Upto 8 hours,,V5.0,Primebook 4G Android Based MediaTek MT8788 - (4 GB/128 GB EMMC Storage/Prime OS) 4G Thin and Light Lap...,,,,,Max Frequency Up to 2.0 GHz,Black,,Manufacturing Defects,,,281 X 192 X 19.3 mm,Not Available,,,128 GB,,,,,,,MediaTek Integrated ARM Mali G72,,,,,,,,QWERTY with PrimeOS Special KB Shortcuts,,,No,,Yes,Primebook S 4G,4G,,,Physical Damage,,,Prime OS,,,PB4G11128#006C,,,"₹14,990",MediaTek,,MediaTek MT8788,MT8788,4 GB,,LPDDR4,,,,,,,,No,,"1N Laptop, 1N Charger, 1N User Manual",1366 x 768 Pixels,29.46 cm (11.6 Inch),HD IPS,,4G Android Based,,,Built-in Speakers,eMMC,,"Processing & Multitasking, Learning",Based on Android 11,,,No,Thin and Light Laptop,"1 x USB 2.0, 1 x USB 3.0",,Pick and Drop,1 Year Pick and Drop Warranty,2.0 MP,1.065 Kg,Wifi 5GHz and 2.4 GHz,
,,,Upto 3 Hours,,v5.3,Colorful Evol P15 Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVID...,,,,,Max turbo frequency at 4.50 Ghz,Steel Grey,,Manufacturing Defects,6 GB,GDDR6,360 X 249 X 25.9 mm,Not Available,,,,,Upto 64 GB,,,,,NVIDIA GeForce RTX 4050,,1 x HDMI Port,,,,Monaural microphone,,Illuminated Keyboard,,,No,,,EVOL,23-HD55D16512A-G-IND/ 23-HE55D16512A-G-IND,,,Physical Damage,,,Windows 11 Home,,,A10205400004,,,"₹59,990",Intel,12th Gen,Core i5,12500H,16 GB,,DDR5,,,,,,,,Yes,512 GB,"Laptop, Warranty Card, Certificate of Conformity, Instruction manual, Silicon Thermal Pad",1920 x 1080 Pixel,39.62 cm (15.6 Inch),Full HD LCD Display,,Evol P15,,,High Deginition Speaker,SSD,,Gaming,,,,No,Gaming Laptop,"1 x USB 3.2 Gen1,1 x USB 3.2 Gen2, 1 x USB 3.2 Gen2 Type C ,1 x USB 2.0",,Carry-in,2 Year Carry-in Warranty,1.0 Megapixel,2.4 Kg,Wireless 802.11 a/b/g,
,,No,Upto 5.3 Hours,2 Cell,v5.1,Lenovo V15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) V15 G3 IAP Thin and Light ...,,,,,0.9 GHz upto max turbo frequency at 4.40 Ghz,Iron Grey,,Manufacturing Defects,,,,Not Available,,1 Year,,,,,,No,,Intel Integrated UHD,,1 x HDMI 1.4b,,,,Yes,,,,,No,,,V15 G3 IAP,V15 G3 IAP,,,Physical Damage,,,Windows 11 Home,,,82TTA00VIH,,,"₹30,800",Intel,12th Gen,Core i3,1215U,8 GB,,DDR4,,,,,,,,Yes,512 GB,"Laptop, User manual, Adapter",1920 x 1080 Pixel,39.62 cm (15.6 Inch),Full HD Anti-glare Display,,V15,,,Built-in Speakers,SSD,,Processing & Multitasking,,,,No,Thin and Light Laptop,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort 1.2)",,Onsite,1 Year Onsite Warranty,"HD 720p, with privacy shutter, fixed focus",1.7 Kg,"Wi-Fi 6, 802.11ax 2x2 Wi-Fi",
,,,,,v5.2,Lenovo IdeaPad 5 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) 14IRH9 2 in 1 Lapt...,,,,,Base frequency 1.4 GHz upto Max Turbo Frequency 4.6 GHz,Luna Grey,,Manufacturing Defects,,,313 x 227 x 17.5 mm,Not Available,,,,,,,,,,Intel Integrated UHD,,,,,,Yes,,"Backlit, English",,,Yes,,,14IRH9,14IRH9,,,Physical Damage,,,Windows 11 Home,,,83KX0018IN,,,"₹72,490",Intel,13th Gen,Core i5,13420H,16 GB,,LPDDR5X,,,,,,,,Yes,512 GB,"Laptop, Lenovo Digital Pen 2, Power Adaptor, User Guide, Warranty Documents",1920 x 1200 Pixel,35.56 cm (14 Inch),"WUXGA, IPS 300nits Glossy, 45% NTSC, 60Hz, TÜV Low Blue Light, Glass, Touch",,IdeaPad 5,,,Yes,SSD,,Processing & Multitasking,,,,Yes,2 in 1 Laptop,"1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), 1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On 2 x USB-C (USB 10Gbps / USB 3.2 Gen 2), with USB PD 3.1 and DisplayPort 1.4",,Carry-in,1 Year Carry-in Warranty,FHD 1080p with Privacy Shutter,1.6 Kg,"Wi-Fi 6, 802.11ax 2x2",
,,,,,v5.4,MSI Prestige 13 Evo AI PC Intel Core Ultra 5 125H - (16 GB/1 TB SSD/Windows 11 Home) Prestige 13 AI Ev...,,,,,700 MHz upto max turbo frequency at 4.5 Ghz,Stellar Gray,,Manufacturing Defects,,,299 x 210 x 16.9 mm,Not Available,,,,,,,Yes,Yes,,Intel Integrated Arc,,1x HDMI 2.1 (8K 60Hz / 4K 120Hz),,,,Yes,,Single Backlit Keyboard (White),,,No,,,Prestige 13 AI Evo A1MG,Prestige 13 AI Evo A1MG,,,"Physical Damage, Burn, Liquid Spill",,,Windows 11 Home,,,9S7-13Q222-052,,,"₹91,990",Intel,,Core Ultra 5,125H,16 GB,,LPDDR5,,,,,,,,Yes,1 TB,"Laptop,Battery,Power Adapter, User Guide",2880 x 1800 Pixel,33.78 cm (13.3 Inch),"2.8K OLED panel, 100% DCI-P3",,Prestige 13 Evo AI PC,,,Yes,SSD,,Processing & Multitasking,,,,No,Thin and Light Laptop,"2 x Type-C (USB / DP / Thunderbolt 4) with PD charging, 1 x Type-A USB3.2 Gen2",,Carry-in,2 Year Carry-in Warranty,IR FHD type (30fps@1080p) with HDR3D Noise Reduction+ (3DNR+),0.99 Kg,Intel Killer BE Wi-Fi 7,
,,,,,v5.2,Lenovo IdeaPad 5 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) 14IRH9 2 in 1 Lapt...,,,,,Base frequency 1.4 GHz upto Max Turbo Frequency 4.6 GHz,Luna Grey,,Manufacturing Defects,,,313 x 227 x 17.5 mm,Not Available,,,,,,,,,,Intel Integrated UHD,,,,,,Yes,,"Backlit, English",,,Yes,,,14IRH9,14IRH9,,,Physical Damage,,,Windows 11 Home,,,83KX0018IN,,,"₹72,490",Intel,13th Gen,Core i5,13420H,16 GB,,LPDDR5X,,,,,,,,Yes,512 GB,"Laptop, Lenovo Digital Pen 2, Power Adaptor, User Guide, Warranty Documents",1920 x 1200 Pixel,35.56 cm (14 Inch),"WUXGA, IPS 300nits Glossy, 45% NTSC, 60Hz, TÜV Low Blue Light, Glass, Touch",,IdeaPad 5,,,Yes,SSD,,Processing & Multitasking,,,,Yes,2 in 1 Laptop,"1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), 1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On 2 x USB-C (USB 10Gbps / USB 3.2 Gen 2), with USB PD 3.1 and DisplayPort 1.4",,Carry-in,1 Year Carry-in Warranty,FHD 1080p with Privacy Shutter,1.6 Kg,"Wi-Fi 6, 802.11ax 2x2",
